name,docstring_length,code_length,examples_length,start_line,file
setUp,0,11,0,32,vendored-meson\meson\unittests\subprojectscommandtests.py
pretend_to_be_meson,0,296,0,955,vendored-meson\meson\mesonbuild\cmake\interpreter.py
nodeify,0,14,0,971,vendored-meson\meson\mesonbuild\cmake\interpreter.py
function,0,11,0,996,vendored-meson\meson\mesonbuild\cmake\interpreter.py
method,0,10,0,1008,vendored-meson\meson\mesonbuild\cmake\interpreter.py
process_target,0,135,0,1055,vendored-meson\meson\mesonbuild\cmake\interpreter.py
process_custom_target,0,48,0,1191,vendored-meson\meson\mesonbuild\cmake\interpreter.py
target_info,0,12,0,1252,vendored-meson\meson\mesonbuild\cmake\interpreter.py
generate,0,45,0,91,vendored-meson\meson\mesonbuild\cmake\toolchain.py
get_defaults,0,57,0,146,vendored-meson\meson\mesonbuild\cmake\toolchain.py
update_cmake_compiler_state,0,43,0,211,vendored-meson\meson\mesonbuild\cmake\toolchain.py
trace_args,0,11,0,161,vendored-meson\meson\mesonbuild\cmake\traceparser.py
parse,0,70,0,176,vendored-meson\meson\mesonbuild\cmake\traceparser.py
do_source,0,18,0,539,vendored-meson\meson\mesonbuild\cmake\traceparser.py
resolve_cmake_trace_targets,0,95,0,25,vendored-meson\meson\mesonbuild\cmake\tracetargets.py
get_always_args,0,15,0,49,vendored-meson\meson\mesonbuild\compilers\asm.py
get_crt_link_args,0,13,0,124,vendored-meson\meson\mesonbuild\compilers\asm.py
has_header_symbol,0,15,0,85,vendored-meson\meson\mesonbuild\compilers\c.py
get_options,0,10,0,102,vendored-meson\meson\mesonbuild\compilers\c.py
get_options,0,17,0,126,vendored-meson\meson\mesonbuild\compilers\c.py
analyse,0,75,0,879,vendored-meson\meson\mesonbuild\cmake\interpreter.py
initialise,0,16,0,862,vendored-meson\meson\mesonbuild\cmake\interpreter.py
configure,0,55,0,806,vendored-meson\meson\mesonbuild\cmake\interpreter.py
process_inter_target_dependencies,0,12,0,734,vendored-meson\meson\mesonbuild\cmake\interpreter.py
log,0,16,0,218,vendored-meson\meson\mesonbuild\cmake\common.py
find_cmake_binary,0,34,0,71,vendored-meson\meson\mesonbuild\cmake\executor.py
check_cmake,0,28,0,106,vendored-meson\meson\mesonbuild\cmake\executor.py
call,0,14,0,223,vendored-meson\meson\mesonbuild\cmake\executor.py
setup_request,0,12,0,44,vendored-meson\meson\mesonbuild\cmake\fileapi.py
load_reply,0,27,0,57,vendored-meson\meson\mesonbuild\cmake\fileapi.py
parse_sources,0,16,0,113,vendored-meson\meson\mesonbuild\cmake\fileapi.py
parse_target,0,102,0,130,vendored-meson\meson\mesonbuild\cmake\fileapi.py
parse_project,0,26,0,233,vendored-meson\meson\mesonbuild\cmake\fileapi.py
get_options,0,10,0,161,vendored-meson\meson\mesonbuild\compilers\c.py
target_property,0,10,0,58,vendored-meson\meson\mesonbuild\cmake\generator.py
eval_generator_expressions,0,39,0,146,vendored-meson\meson\mesonbuild\cmake\generator.py
add,0,13,0,137,vendored-meson\meson\mesonbuild\cmake\interpreter.py
artifact,0,12,0,168,vendored-meson\meson\mesonbuild\cmake\interpreter.py
postprocess,0,167,0,301,vendored-meson\meson\mesonbuild\cmake\interpreter.py
rel_path,0,30,0,379,vendored-meson\meson\mesonbuild\cmake\interpreter.py
process_object_libs,0,29,0,472,vendored-meson\meson\mesonbuild\cmake\interpreter.py
process_inter_target_dependencies,0,12,0,539,vendored-meson\meson\mesonbuild\cmake\interpreter.py
log,0,22,0,560,vendored-meson\meson\mesonbuild\cmake\interpreter.py
postprocess,0,71,0,633,vendored-meson\meson\mesonbuild\cmake\interpreter.py
target_file,0,31,0,69,vendored-meson\meson\mesonbuild\cmake\generator.py
check_cmake_args,0,12,0,146,vendored-meson\meson\mesonbuild\cmake\common.py
get_options,0,20,0,286,vendored-meson\meson\mesonbuild\compilers\c.py
get_options,0,16,0,466,vendored-meson\meson\mesonbuild\compilers\c.py
get_option_compile_args,0,19,0,713,vendored-meson\meson\mesonbuild\compilers\cpp.py
get_options,0,11,0,753,vendored-meson\meson\mesonbuild\compilers\cpp.py
get_option_compile_args,0,16,0,765,vendored-meson\meson\mesonbuild\compilers\cpp.py
sanity_check,0,22,0,89,vendored-meson\meson\mesonbuild\compilers\cs.py
get_buildtype_args,0,10,0,142,vendored-meson\meson\mesonbuild\compilers\cs.py
sanity_check,0,100,0,485,vendored-meson\meson\mesonbuild\compilers\cuda.py
has_header_symbol,0,28,0,589,vendored-meson\meson\mesonbuild\compilers\cuda.py
get_options,0,20,0,622,vendored-meson\meson\mesonbuild\compilers\cuda.py
get_option_compile_args,0,12,0,655,vendored-meson\meson\mesonbuild\compilers\cuda.py
get_options,0,15,0,73,vendored-meson\meson\mesonbuild\compilers\cython.py
compute_parameters_with_absolute_paths,0,13,0,128,vendored-meson\meson\mesonbuild\compilers\d.py
get_feature_args,0,87,0,173,vendored-meson\meson\mesonbuild\compilers\d.py
build_rpath_args,0,24,0,269,vendored-meson\meson\mesonbuild\compilers\d.py
translate_arg_to_windows,0,24,0,423,vendored-meson\meson\mesonbuild\compilers\d.py
get_soname_args,0,10,0,495,vendored-meson\meson\mesonbuild\compilers\d.py
get_allow_undefined_link_args,0,10,0,520,vendored-meson\meson\mesonbuild\compilers\d.py
sanity_check,0,17,0,559,vendored-meson\meson\mesonbuild\compilers\d.py
