0: ['swap_count1', 'diff0', 'expect5', 'Falses5', 'Trues29', 'out_len34', 'prom_len29', 'Trues==prom_len True']: .\log\np\np_absolute_70B.log
0: ['swap_count1', 'diff0', 'expect5', 'Falses5', 'Trues29', 'out_len34', 'prom_len29', 'Trues==prom_len True']: .\log\np\np_abs_70B.log
0: ['swap_count1', 'diff0', 'expect5', 'Falses5', 'Trues7', 'out_len12', 'prom_len7', 'Trues==prom_len True']: .\log\np\np_acosh_70B.log
0: ['swap_count1', 'diff0', 'expect5', 'Falses5', 'Trues15', 'out_len20', 'prom_len15', 'Trues==prom_len True']: .\log\np\np_acos_70B.log
0: ['swap_count1', 'diff0', 'expect8', 'Falses8', 'Trues20', 'out_len28', 'prom_len20', 'Trues==prom_len True']: .\log\np\np_add_70B.log
0: ['swap_count1', 'diff0', 'expect6', 'Falses6', 'Trues13', 'out_len19', 'prom_len13', 'Trues==prom_len True']: .\log\np\np_allclose_70B.log
0: ['swap_count1', 'diff0', 'expect4', 'Falses4', 'Trues22', 'out_len26', 'prom_len22', 'Trues==prom_len True']: .\log\np\np_all_70B.log
0: ['swap_count1', 'diff0', 'expect34', 'Falses34', 'Trues2', 'out_len36', 'prom_len2', 'Trues==prom_len True']: .\log\np\np_amax_70B.log
0: ['swap_count1', 'diff0', 'expect25', 'Falses25', 'Trues2', 'out_len27', 'prom_len2', 'Trues==prom_len True']: .\log\np\np_amin_70B.log
0: ['swap_count1', 'diff0', 'expect4', 'Falses4', 'Trues9', 'out_len13', 'prom_len9', 'Trues==prom_len True']: .\log\np\np_angle_70B.log
0: ['swap_count1', 'diff0', 'expect4', 'Falses4', 'Trues37', 'out_len41', 'prom_len37', 'Trues==prom_len True']: .\log\np\np_any_70B.log
0: ['swap_count1', 'diff0', 'expect12', 'Falses12', 'Trues29', 'out_len41', 'prom_len29', 'Trues==prom_len True']: .\log\np\np_append_70B.log
0: ['swap_count1', 'diff0', 'expect8', 'Falses8', 'Trues35', 'out_len43', 'prom_len35', 'Trues==prom_len True']: .\log\np\np_apply_along_axis_70B.log
